tahun,bulan,inflasi_umum_yoy,volatile_food_mtm,volatile_food_yoy,sumber,komoditas_penyumbang
2025,Januari,0.76,2.95,3.07,BPS + Bank Indonesia,"Cabai rawit, daging ayam, bawang merah, telur ayam, beras"
2025,Mei,1.6,-2.48,-1.17,BPS + Bank Indonesia,"Cabai rawit, daging ayam, bawang merah, telur ayam, beras"
2025,Juni,1.5,0.77,0.57,BPS + Bank Indonesia,"Cabai rawit, daging ayam, bawang merah, telur ayam, beras"
2025,Desember,2.92,2.74,6.21,BPS + Bank Indonesia,"Cabai rawit, daging ayam, bawang merah, telur ayam, beras"
2026,Januari,3.55,-1.96,1.14,BPS + Bank Indonesia,"Cabai rawit, daging ayam, bawang merah, telur ayam, beras"
2026,Februari,4.76,2.5,4.64,BPS + Bank Indonesia,"Cabai rawit, daging ayam, bawang merah, telur ayam, beras"
2026,Maret,3.48,1.58,4.24,BPS + Bank Indonesia,"Cabai rawit, daging ayam, bawang merah, telur ayam, beras"
2026,April,2.42,-0.88,,BPS + Bank Indonesia,"Cabai rawit, daging ayam, bawang merah, telur ayam, beras"
